name,address,url
同,"中正區館前路22號2樓 (正旅館藍), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/junto
鮨 嘉仁,"中山區吉林路28號, Taipei, 104, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/sushi-kajin
天婦羅 杉村,"中山區樂群二路199號2樓 (中城廣場), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/tempura-sugimura
鯷魚,"前鎮區林森三路116號, Kaohsiung, 806001, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/anchovy
白玉樓,"前鎮區中華五路789號6樓 (夢時代), Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/pale-jade-pavilion
山与,"西屯區惠來路一段88號, Taichung, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shineyu
Lin,"大安區仁愛路四段300巷25弄6號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/lin
明娟樓,"西區館前路77號2樓 (勤美洲際酒店), Taichung, 40353, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/ming-juan-lou
Yuu,"大安區忠孝東路四段216巷33弄15號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yuu
AJIMI,"大安區四維路52巷19弄5號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/ajimi
元一,"大安區忠孝東路四段216巷27弄11號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/motoichi
雲川水月,"松山區富錦街120號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/clavius
蓮霧腳羊肉湯,"新化區中正路361號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/lien-wu-chiao-lamb-soup
Bencotto,"松山區敦化北路158號6樓 (文華東方酒店), Taipei, 105, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/bencotto
川泰號虱目魚丸,"中西區大同路一段222號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/chuan-tai-hao-milkfish-ball
川雅,"信義區松智路17號46樓 (微風南山), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/chuan-ya
心宴,"中山區明水路598號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/amaze
功夫上海手工魚丸,"西區中美街380號, Taichung, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/kung-fu-shanghai-fish-ball
魚麗共同廚房,"北區德化街417號, Taichung, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shoal-cuisine
東引釣客,"西區向上路一段96-2號, Taichung, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/dongyin-fisherman
掬,"大安區安和路一段135巷4號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/kiku-1216129
繭 小料理,"中西區府前路二段206巷6號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/mayu-cocoon
啢啢餐桌,"北區民德路85巷63號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/liang-liang-table
江牛樓,"大同區民樂街6號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/kou-gyu-rou
傳家鹹粥,"安平區慶平路410號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/chuan-chia-congee
駄介,"大安區四維路375之2號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/dasuke
fumée,"中山區中山北路二段39巷3號B3 (晶華酒店), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/fumee
J Parc,"三民區德興街1號, Kaohsiung, 80751, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/j-parc
永筵小館,"前金區成功一路528號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/yung-yen
蘇來傳,"萬華區和平西路三段176巷4號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/su-lai-chuan
UNA-VERSE,"南屯區五權西路二段268號, Taichung, 408, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/una-verse
繡球,"西區中興街102號, Taichung, 403, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/ajisai
Aleisha,"大安區忠孝東路三段217巷4弄16號, Taipei, 106080, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/aleisha
琥珀,"信義區逸仙路32巷15號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/kohaku-1213377
仙桃素,"鼓山區明倫路496號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/xiantaosu
欣欣餐廳,"中西區民族路二段245號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/hsin-hsin
ZEA,"大安區仁愛路四段300巷20弄5號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/zea
大腕,"中山區敬業二路199號5樓, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/da-wan-1200838
蟳之屋,"新興區民生一路93號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/crab-s-house
阿明豬心冬粉 (保安路),"中西區保安路72號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/a-ming-zhu-xing-baoan-road
京華煙雲,"西區五權七街57號, Taichung, 403, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/moment-in-beijing
一甲子餐飲,"萬華區康定路79號, Taipei, 108, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yi-jia-zi
金賞軒,"松山區敦化北路155巷111號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/jin-shang-hsuan
上海未名麵點,"中區市府路69號, Taichung, 400, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/no-name-noodles
美福乾式熟成牛排館,"內湖區民善街128號2樓, Taipei, 114, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/fresh-aged
貳哥食堂,"鼓山區青海路145號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/erge-shih-tang
醉月樓,"中區中山路20號2樓 (宮原眼科), Taichung, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/moon-pavilion
Papillon,"前鎮區林森四路189號26樓 (承億酒店), Kaohsiung, 806, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/papillon-1204917
葉家小卷米粉,"中西區國華街二段142號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/yeh-jia-calamari-rice-noodle-soup
巴黎廳1930x高山英紀,"中山區民權東路二段41號2樓 (亞都麗緻大飯店), Taipei, 10470, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/paris-1930-de-hideki-takayama
与玥樓,"南屯區公益路二段783號, Taichung, 408, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/yu-yue-lou
前金肉燥飯,"前金區大同二路26號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/cianjin-brasied-pork-rice
渥達尼斯磨坊,"中山區建國北路一段61號 (慕舍酒店), Taipei, 10491, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/molino-de-urdaniz
好朋友涼麵,"士林區大南路31號 (士林夜市), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/good-friend-cold-noodles
圓環邊蚵仔煎,"大同區寧夏路46號 (寧夏夜市), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/yuan-huan-pien-oyster-egg-omelette
無名推車燒餅,"中正區中華路二段311巷74號攤 (南機場夜市), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/unnamed-clay-oven-roll
態芮,"中山區樂群三路299號6樓, Taipei, 104, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/tairroir
驥園川菜,"大安區敦化南路一段324號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/gi-yuan
春蘭割包,"新興區復興一路5號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/chun-lan-gua-bao
波記食堂,"苓雅區四維三路162號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/paul-s-canteen
卉寓,"西區昇平街22巷3號, Taichung, 403, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/huist
松竹園,"士林區永公路546號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/sung-chu-yuan
香色,"中正區湖口街1-2號, Taipei, 100, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/xiang-se
HUGH dessert dining,"大同區重慶北路3段136巷56號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/hugh
Ukai-tei,"前鎮區中山二路199號3樓 (晶英國際行館), Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/ukai-tei
咕嚕咕嚕原住民音樂餐廳,"西區五權西四街13巷2號, Taichung, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/gulu-gulu
黃家蝦捲,"中西區西和路268號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/huang-chia-shrimp-roll
馨苑 (西區),"西區民生北路106號, Taichung, 403, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shin-yuan
de nuit,"大安區信義路四段175號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/de-nuit
膳馨 (西區),"西區存中街21號, Taichung, 403, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shan-shin
揚梅吐氣,"楠西區灣丘里1-5號, Tainan, 715, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/plum-chang
滬舍餘味 (南屯),"南屯區公益路二段537號, Taichung, 408, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/shanghai-food
原則,"北區西華街34號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/principe
昭明海產家庭料理,"前金區自強一路53號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/chao-ming
誠實鍋燒意麵,"中西區西門路一段702巷12號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/cheng-shi
謝掌櫃,"安平區運河路23巷5號, Tainan, 臺灣",https://guide.michelin.com/tw/zh_TW/tainan-region/tainan/restaurant/xie-shopkeeper
廖記米糕,"橋頭區橋南路119號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/liao-chi-migao
讚,"士林區承德路四段192之1號B1, Taipei, 111, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/zan-1188096
雙月食品 (青島東路),"中正區青島東路6之2號, Taipei, 100, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/shuang-yue-food
雄記蔥抓餅,"中正區羅斯福路四段108巷2號 (公館夜市), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/hsiung-chi-scallion-pancake
山內雞肉,"中正區中華路二段307巷20之3號攤 (南機場夜市), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/shan-nei-chicken
Circum-,"中山區中山北路二段39巷3號B2 (晶華酒店), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/circum
興蓬萊台菜 (中山北路),"士林區中山北路七段55號, Taipei, 111, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/shing-peng-lai
Set.,"大同區承德路二段110號, Taipei, 103, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/set
T+T,"松山區敦化北路165巷11號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/t-t
AKIN,"中山區建國北路一段92巷8號, Taipei, 104, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/akin
Capstone Steakhouse,"鼓山區明華路366號1樓 (水京棧國際酒店), Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/capstone-steakhouse
台南旺,"前金區六合二路187號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/tainan-wang
南村,"大安區忠孝東路四段216巷33弄10號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/44-sv
Marc L³,"前金區仁義街231號, Kaohsiung, 80145, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/marc-l
楊寶寶蒸餃 (朝明路),"楠梓區朝明路106號, Kaohsiung, 814, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/yang-bao-bao-nanzih
老新台菜 (九如二路),"三民區九如二路227號, Kaohsiung, 臺灣",https://guide.michelin.com/tw/zh_TW/kaohsiung-region/kaohsiung/restaurant/old-new-taiwanese-cuisine-jiuru-2nd-road
范記金之園 (中區),"中區成功路170號, Taichung, 400, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/chin-chih-yuan
磐石坊,"大安區樂利路15號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/sate-house
KR Prime Steak,"西屯區市政北二路52號, Taichung, 407, 臺灣",https://guide.michelin.com/tw/zh_TW/taichung-region/taichung/restaurant/kr-prime-steak
承家,"中山區民權東路二段92巷6號, Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/cheng-jia
泰姬,"大安區市民大道四段48巷1號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/taj
賣麵炎仔,"大同區安西街106號, Taipei, 103, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/mai-mien-yen-tsai
清真中國牛肉麵食館 (大安),"大安區延吉街137巷7弄1號, Taipei, 106, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/halal-chinese-beef-noodles
麻糬寶寶,"松山區饒河街111號前 (饒河街夜市), Taipei, 臺灣",https://guide.michelin.com/tw/zh_TW/taipei-region/taipei/restaurant/mochi-baby
